000100000,Brandweer,Amsterdam-Amstelland,,Proefalarm,
000100001,Brandweer,Amsterdam-Amstelland,Aalsmeer,Bevelvoerders,
000100004,Brandweer,Amsterdam-Amstelland,Aalsmeer,Korpsalarm,
000100005,Brandweer,Amsterdam-Amstelland,Aalsmeer,Officier van Dienst Aalsmeer/UitHoorn,
000100007,Brandweer,Amsterdam-Amstelland,Aalsmeer,Chauffeurs,
000100010,Brandweer,Amsterdam-Amstelland,Aalsmeer,Tankautospuit-611,
000100011,Brandweer,Amsterdam-Amstelland,Aalsmeer,Tankautospuit-612,
000100012,Brandweer,Amsterdam-Amstelland,Aalsmeer,Hulpverleningsvoertuig-680,
000100013,Brandweer,Amsterdam-Amstelland,Aalsmeer,Brandweervaartuig-672,
000100014,Brandweer,Amsterdam-Amstelland,Aalsmeer,Dienstbus-666,
000100016,Brandweer,Amsterdam-Amstelland,Aalsmeer,Dompelpomphaakarmbak-935,
000100018,Brandweer,Amsterdam-Amstelland,Aalsmeer,Schuimblusaanhanger-670,
000100019,Brandweer,Amsterdam-Amstelland,Aalsmeer,Lichtkrant Kazerne,
000100100,Brandweer,Amsterdam-Amstelland,Amstelveen,Blusgroep 1,
000100102,Brandweer,Amsterdam-Amstelland,Amstelveen,Blusgroep 2,
000100104,Brandweer,Amsterdam-Amstelland,,OvD Zuid - spoed,
000100105,Brandweer,Amsterdam-Amstelland,,OvD Zuid,
000100106,Brandweer,Amsterdam-Amstelland,Amstelveen,Bevelvoerder van Dienst,BvD
000100108,Brandweer,Amsterdam-Amstelland,Amstelveen,Blusgroep 3,
000100115,Brandweer,Amsterdam-Amstelland,Amstelveen,Bemanning Tankautospuit / Waterongevallenvoertuig,
000100116,Brandweer,Amsterdam-Amstelland,Amstelveen,Springbemanning,
000100119,Brandweer,Amsterdam-Amstelland,Amstelveen,Lichtkrant Kazerne,
000100200,Brandweer,Amsterdam-Amstelland,Amstelveen,BvD Beroeps,
000100201,Brandweer,Amsterdam-Amstelland,Amstelveen,TS/WO,
000100219,Brandweer,Amsterdam-Amstelland,Amstelveen,Lichtkrant Beroeps,
000100269,Brandweer,Amsterdam-Amstelland,Amsterdam-Anton,Kazernealarm,
000100350,Brandweer,Amsterdam-Amstelland,Amsterdam-Dirk,TS,
000100351,Brandweer,Amsterdam-Amstelland,Amsterdam-Dirk,AL,
000100369,Brandweer,Amsterdam-Amstelland,Amsterdam-Dirk,Lichtkrant,
000100400,Brandweer,Amsterdam-Amstelland,Amsterdam-Maxima,Blusgroep,
000100403,Brandweer,Amsterdam-Amstelland,Amsterdam-Maxima,Postcommandant,
000100419,Brandweer,Amsterdam-Amstelland,Amsterdam-Maxima,Lichtkrant kazerne,
000100500,Brandweer,Amsterdam-Amstelland,Amsterdam-Hendrik,TS,
000100501,Brandweer,Amsterdam-Amstelland,Amsterdam-Hendrik,AL,
000100519,Brandweer,Amsterdam-Amstelland,Amsterdam-Hendrik,Kazernealarm,
000100550,Brandweer,Amsterdam-Amstelland,Landelijk Noord,Blusgroep,
000100553,Brandweer,Amsterdam-Amstelland,Landelijk Noord,Bevelvoerders,
000100569,Brandweer,Amsterdam-Amstelland,Landelijk Noord,Lichtkrant Kazerne,
000100600,Brandweer,Amsterdam-Amstelland,,ASA,
000100669,Brandweer,Amsterdam-Amstelland,Amsterdam-Osdorp,Kazernealarm,
000100719,Brandweer,Amsterdam-Amstelland,Amsterdam-IJsbrand,Kazernealarm,
000100759,Brandweer,Amsterdam-Amstelland,,Piket AC,
000100763,Brandweer,Amsterdam-Amstelland,,Officier Informatie en Opschaling,
000100769,Brandweer,Amsterdam-Amstelland,Amsterdam-Nico,Kazernealarm,
000100869,Brandweer,Amsterdam-Amstelland,Amsterdam-Pieter,Kazernealarm,
000100919,Brandweer,Amsterdam-Amstelland,Amsterdam-Rudolf,Kazernealarm,
000100950,Brandweer,Amsterdam-Amstelland,Amsterdam-Teunis,Hulpverleningsvoertuig-577 `,
000100969,Brandweer,Amsterdam-Amstelland,Amsterdam-Teunis,Lichtkrant kazerne,
000101019,Brandweer,Amsterdam-Amstelland,Amsterdam-Victor,Kazernealarm,
000101056,Brandweer,Amsterdam-Amstelland,,Meetplanleider,
000101058,Brandweer,Amsterdam-Amstelland,,HOvD,
000101059,Brandweer,Amsterdam-Amstelland,,Voorlichting,
000101069,Brandweer,Amsterdam-Amstelland,,ROvD,
000101111,Brandweer,Amsterdam-Amstelland,,Adviseur Gevaarlijke Stoffen,AA AGS1
000101115,Brandweer,Amsterdam-Amstelland,,TBO,
000101204,Brandweer,Amsterdam-Amstelland,,OvD Noord - spoed,
000101205,Brandweer,Amsterdam-Amstelland,,OvD Noord,
000101208,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Ademluchtvoertuig,
000101209,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Ademluchtvoertuig,
000101218,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Waterongevallenvoertuig,
000101219,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Kazernealarm,
000101269,Brandweer,Amsterdam-Amstelland,Amsterdam-Zebra,Kazernealarm,
000101304,Brandweer,Amsterdam-Amstelland,,Staffunctionaris Logistiek en Bevoorrading,
000101400,Brandweer,Amsterdam-Amstelland,Diemen,Blusgroep 1,
000101402,Brandweer,Amsterdam-Amstelland,Diemen,Blusgroep 2,
000101407,Brandweer,Amsterdam-Amstelland,Diemen,Postcommandant,
000101419,Brandweer,Amsterdam-Amstelland,Diemen,Lichtkrant Kazerne,
000101500,Brandweer,Amsterdam-Amstelland,Badhoevedorp,Blusgroep,
000102007,Brandweer,Amsterdam-Amstelland,,OvD Zuid Alarmcode,
000102011,Brandweer,Amsterdam-Amstelland,Amsterdam,Infocode middel Incident,
000102021,Brandweer,Amsterdam-Amstelland,,OvD-Meldkamer Alarmcode,
000102030,Brandweer,Amsterdam-Amstelland,Diemen,Infocode klein incident,
000102091,Brandweer,Amsterdam-Amstelland,,Infocode middel Incident,
000102100,Brandweer,Amsterdam-Amstelland,Ouderkerk a/d Amstel,Blusgroep,
